ESTRATÉGIA ASSIMETRIA DE BAIXA;ASSIMETRIA ONLY;ENTROPIA ONLY;ESTRATÉGIA COM ASSIMETRIA DE ALTA;Data
1,08243478;1,079336714;1,074531025;0,968517396;30/03/2012
1,106885541;1,096566276;1,093808368;0,982224091;02/04/2012
1,090966364;1,084596888;1,080104828;0,968031392;03/04/2012
1,085387779;1,076336711;1,07265143;0,95468841;04/04/2012
1,088142876;1,077423936;1,075609475;0,956173805;05/04/2012
1,077864213;1,070425589;1,067510582;0,947934098;09/04/2012
1,0679631;1,065362597;1,063115676;0,942144116;10/04/2012
1,066178793;1,066263992;1,05956724;0,936327158;11/04/2012
1,072147842;1,076113162;1,064723146;0,950480176;12/04/2012
1,057316502;1,063291166;1,053862894;0,940566228;13/04/2012
1,057883962;1,064172068;1,053913075;0,938428479;16/04/2012
1,06517343;1,070267574;1,058356774;0,946136814;17/04/2012
1,081833487;1,084832423;1,069058984;0,947064376;18/04/2012
1,089823671;1,088078925;1,074647518;0,948555002;19/04/2012
1,096435731;1,095784743;1,080713924;0,952599205;20/04/2012
1,085113377;1,083985994;1,074427892;0,950014501;23/04/2012
1,093800956;1,094115004;1,083751551;0,952663153;24/04/2012
1,097869022;1,096622228;1,086262407;0,942498412;25/04/2012
1,097312122;1,096903976;1,085012529;0,94364143;26/04/2012
1,104556529;1,107078139;1,092371932;0,949187697;27/04/2012
1,102284186;1,105914047;1,091422411;0,953295887;30/04/2012
1,097948698;1,102705624;1,088083413;0,949816149;02/05/2012
1,094058071;1,099253045;1,092573738;0,958826111;03/05/2012
1,086064038;1,090612239;1,086520464;0,953069706;04/05/2012
1,090942422;1,095908025;1,092241856;0,96061333;07/05/2012
1,08991742;1,094194669;1,086166734;0,95127616;08/05/2012
1,081396403;1,088227645;1,0822565;0,946505856;09/05/2012
1,086617965;1,095537653;1,091560688;0,952860294;10/05/2012
1,085811595;1,095223134;1,090184895;0,953003466;11/05/2012
1,053924045;1,063970644;1,063956968;0,930400909;14/05/2012
1,039482684;1,049483558;1,049385772;0,916380148;15/05/2012
1,034260602;1,045067142;1,051943303;0,9216694;16/05/2012
1,008095678;1,01925612;1,024434563;0,886609624;17/05/2012
1,012382627;1,022662232;1,024006136;0,891675453;18/05/2012
1,024813374;1,025345171;1,03333654;0,891230151;21/05/2012
1,03934529;1,035000928;1,044673491;0,896007121;22/05/2012
1,021742764;1,019293681;1,029425566;0,883077781;23/05/2012
1,014675256;1,011473227;1,023721142;0,872687638;24/05/2012
1,024230729;1,019224225;1,026221277;0,878646904;25/05/2012
1,041395905;1,037279534;1,043509148;0,890929846;28/05/2012
1,036203817;1,030056783;1,033166832;0,883203634;29/05/2012
1,029634223;1,025919553;1,026219589;0,877597492;30/05/2012
1,041379487;1,039043679;1,044137448;0,897208563;31/05/2012
1,024746104;1,02077135;1,028016989;0,883048314;01/06/2012
1,018963473;1,012946878;1,028545306;0,885027722;04/06/2012
1,010757273;1,002316678;1,019373231;0,874687085;05/06/2012
1,032941339;1,02299407;1,047836882;0,900184627;06/06/2012
1,031838948;1,022151692;1,048483649;0,900707923;08/06/2012
1,034397761;1,026300285;1,047996272;0,892246927;11/06/2012
1,057737326;1,046968682;1,070242634;0,908048029;12/06/2012
1,059652817;1,048901546;1,073264906;0,914805755;13/06/2012
1,055973934;1,043833823;1,069703921;0,90903123;14/06/2012
1,056999792;1,045263525;1,071995208;0,920514311;15/06/2012
1,064128515;1,052197708;1,076668318;0,923217625;18/06/2012
1,070363632;1,058384727;1,094145867;0,940844092;19/06/2012
1,067071973;1,05368104;1,091040843;0,940751798;20/06/2012
1,052431653;1,040779903;1,07079444;0,924300214;21/06/2012
1,047430753;1,03531294;1,063237392;0,917974315;22/06/2012
1,037459197;1,023934743;1,052753212;0,903718113;25/06/2012
1,042497648;1,026473589;1,059194222;0,903890526;26/06/2012
1,051902648;1,038413528;1,070527162;0,909349017;27/06/2012
1,05328234;1,039635935;1,067697445;0,905821846;28/06/2012
1,063168882;1,051731123;1,081153552;0,923087599;29/06/2012
1,055699191;1,04739793;1,078460851;0,927079667;02/07/2012
1,070059262;1,062211678;1,086590049;0,940154179;03/07/2012
1,071000747;1,062837543;1,08564616;0,941245073;04/07/2012
1,073028483;1,065308948;1,089439656;0,945398009;05/07/2012
1,067242694;1,059743806;1,083476849;0,928449244;06/07/2012
1,050254557;1,046075009;1,061635071;0,901327245;10/07/2012
1,048292806;1,045641688;1,063270437;0,894764297;11/07/2012
1,046185337;1,041037416;1,061766138;0,897141461;12/07/2012
1,045578007;1,039379636;1,064989635;0,904641717;13/07/2012
